央视频道,#genre#
CCTV1,http://www.kitcc.cn:9981/stream/channelid/276382516?profile=pass
CCTV1,http://www.kitcc.cn:9981/stream/channelid/1060828394?profile=pass
CCTV10,http://www.kitcc.cn:9981/stream/channelid/906035609?profile=pass
CCTV11,http://www.kitcc.cn:9981/stream/channelid/639774916?profile=pass
CCTV12,http://www.kitcc.cn:9981/stream/channelid/1415345515?profile=pass
CCTV13,http://www.kitcc.cn:9981/stream/channelid/297066885?profile=pass
CCTV14,http://www.kitcc.cn:9981/stream/channelid/1090280304?profile=pass
CCTV15,http://www.kitcc.cn:9981/stream/channelid/445225587?profile=pass
CCTV16,http://www.kitcc.cn:9981/stream/channelid/2093205010?profile=pass
CCTV17,http://www.kitcc.cn:9981/stream/channelid/1649375419?profile=pass
CCTV2,http://www.kitcc.cn:9981/stream/channelid/44564187?profile=pass
CCTV3,http://www.kitcc.cn:9981/stream/channelid/1550871322?profile=pass
CCTV3,http://www.kitcc.cn:9981/stream/channelid/1775149180?profile=pass
CCTV4,http://www.kitcc.cn:9981/stream/channelid/747687910?profile=pass
CCTV5,http://www.kitcc.cn:9981/stream/channelid/1382155679?profile=pass
CCTV5,http://www.kitcc.cn:9981/stream/channelid/1578308884?profile=pass
CCTV5+,http://www.kitcc.cn:9981/stream/channelid/1637601816?profile=pass
CCTV6,http://www.kitcc.cn:9981/stream/channelid/255354260?profile=pass
CCTV7,http://www.kitcc.cn:9981/stream/channelid/1198893093?profile=pass
CCTV8,http://www.kitcc.cn:9981/stream/channelid/503050081?profile=pass
CCTV8,http://www.kitcc.cn:9981/stream/channelid/545270860?profile=pass
CCTV9,http://www.kitcc.cn:9981/stream/channelid/417111495?profile=pass
CGTN,http://www.kitcc.cn:9981/stream/channelid/462131022?profile=pass
CGTN俄语,http://www.kitcc.cn:9981/stream/channelid/213125405?profile=pass
CGTN法语,http://www.kitcc.cn:9981/stream/channelid/441034843?profile=pass
CGTN英语,http://www.kitcc.cn:9981/stream/channelid/2122112792?profile=pass
CGTN西班牙,http://www.kitcc.cn:9981/stream/channelid/2085822010?profile=pass
CGTN阿拉伯语,http://www.kitcc.cn:9981/stream/channelid/742482897?profile=pass
CCTV1,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000501/index.m3u8?
CCTV2,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000502/index.m3u8?
CCTV3,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000003/index.m3u8?
CCTV4,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000503/index.m3u8?
CCTV5,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000005/index.m3u8?
CCTV5+,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000507/index.m3u8?
CCTV6,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000006/index.m3u8?
CCTV7,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000504/index.m3u8?
CCTV8,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000008/index.m3u8?
CCTV9,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000505/index.m3u8?
CCTV10,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000506/index.m3u8?
CCTV11,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000508/index.m3u8?
CCTV12,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000509/index.m3u8?
CCTV13,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000510/index.m3u8?
CCTV14,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000511/index.m3u8?
CCTV15,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000512/index.m3u8?
CCTV16,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000016/index.m3u8?
CCTV17,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000513/index.m3u8?

卫视频道,#genre#
上海纪实,http://www.kitcc.cn:9981/stream/channelid/1055718962?profile=pass
世界地理,http://www.kitcc.cn:9981/stream/channelid/1514648886?profile=pass
东南卫视,http://www.kitcc.cn:9981/stream/channelid/1138426754?profile=pass
东方卫视,http://www.kitcc.cn:9981/stream/channelid/328194827?profile=pass
中国教育1台,http://www.kitcc.cn:9981/stream/channelid/188923591?profile=pass
中国教育2台,http://www.kitcc.cn:9981/stream/channelid/1569120046?profile=pass
云南卫视,http://www.kitcc.cn:9981/stream/channelid/843080663?profile=pass
优漫卡通,http://www.kitcc.cn:9981/stream/channelid/844689666?profile=pass
兵器科技,http://www.kitcc.cn:9981/stream/channelid/616174155?profile=pass
兵团卫视,http://www.kitcc.cn:9981/stream/channelid/383588142?profile=pass
内蒙古卫视,http://www.kitcc.cn:9981/stream/channelid/939752909?profile=pass
北京卫视,http://www.kitcc.cn:9981/stream/channelid/1019878329?profile=pass
南方购物,http://www.kitcc.cn:9981/stream/channelid/1382804278?profile=pass
吉林卫视,http://www.kitcc.cn:9981/stream/channelid/632779062?profile=pass
哈哈炫动,http://www.kitcc.cn:9981/stream/channelid/1830387110?profile=pass
嘉佳卡通,http://www.kitcc.cn:9981/stream/channelid/1416656642?profile=pass
四川卫视,http://www.kitcc.cn:9981/stream/channelid/136337758?profile=pass
四川卫视,http://www.kitcc.cn:9981/stream/channelid/1883474029?profile=pass
国学,http://www.kitcc.cn:9981/stream/channelid/2048759130?profile=pass
天津卫视,http://www.kitcc.cn:9981/stream/channelid/291738364?profile=pass
天津卫视,http://www.kitcc.cn:9981/stream/channelid/419413117?profile=pass
央视台球,http://www.kitcc.cn:9981/stream/channelid/1678779265?profile=pass
央视精品,http://www.kitcc.cn:9981/stream/channelid/1213627749?profile=pass
女性时尚,http://www.kitcc.cn:9981/stream/channelid/454015249?profile=pass
宁夏卫视,http://www.kitcc.cn:9981/stream/channelid/1808147807?profile=pass
安徽卫视,http://www.kitcc.cn:9981/stream/channelid/380119736?profile=pass
山东卫视,http://www.kitcc.cn:9981/stream/channelid/649655583?profile=pass
山东卫视,http://www.kitcc.cn:9981/stream/channelid/1804505026?profile=pass
山东教育,http://www.kitcc.cn:9981/stream/channelid/333198212?profile=pass
山西卫视,http://www.kitcc.cn:9981/stream/channelid/853439858?profile=pass
广西卫视,http://www.kitcc.cn:9981/stream/channelid/433281624?profile=pass
延边卫视,http://www.kitcc.cn:9981/stream/channelid/816552712?profile=pass
延边卫视,http://www.kitcc.cn:9981/stream/channelid/1119604169?profile=pass
怀旧剧场,http://www.kitcc.cn:9981/stream/channelid/84859070?profile=pass
新疆卫视,http://www.kitcc.cn:9981/stream/channelid/458176326?profile=pass
新闻综合,http://www.kitcc.cn:9981/stream/channelid/1430685218?profile=pass
旅游卫视,http://www.kitcc.cn:9981/stream/channelid/879534909?profile=pass
早期教育,http://www.kitcc.cn:9981/stream/channelid/1282615143?profile=pass
江苏卫视,http://www.kitcc.cn:9981/stream/channelid/1499545665?profile=pass
江苏卫视,http://www.kitcc.cn:9981/stream/channelid/1925889202?profile=pass
江西卫视,http://www.kitcc.cn:9981/stream/channelid/403334456?profile=pass
汽摩,http://www.kitcc.cn:9981/stream/channelid/533878547?profile=pass
河北卫视,http://www.kitcc.cn:9981/stream/channelid/1689365147?profile=pass
河南卫视,http://www.kitcc.cn:9981/stream/channelid/1638123572?profile=pass
浙江卫视,http://www.kitcc.cn:9981/stream/channelid/1674902719?profile=pass
浙江卫视,http://www.kitcc.cn:9981/stream/channelid/1837679507?profile=pass
深圳卫视,http://www.kitcc.cn:9981/stream/channelid/1668442210?profile=pass
深圳卫视,http://www.kitcc.cn:9981/stream/channelid/1807662261?profile=pass
湖北卫视,http://www.kitcc.cn:9981/stream/channelid/767737658?profile=pass
湖北卫视,http://www.kitcc.cn:9981/stream/channelid/1967511558?profile=pass
湖南卫视,http://www.kitcc.cn:9981/stream/channelid/824129368?profile=pass
湖南卫视,http://www.kitcc.cn:9981/stream/channelid/1724996488?profile=pass
现代教育,http://www.kitcc.cn:9981/stream/channelid/943814613?profile=pass
甘肃卫视,http://www.kitcc.cn:9981/stream/channelid/871648898?profile=pass
生活咨询,http://www.kitcc.cn:9981/stream/channelid/430127955?profile=pass
电视指南,http://www.kitcc.cn:9981/stream/channelid/16062555?profile=pass
第一剧场,http://www.kitcc.cn:9981/stream/channelid/732629802?profile=pass
经济科教,http://www.kitcc.cn:9981/stream/channelid/1132140527?profile=pass
老故事,http://www.kitcc.cn:9981/stream/channelid/250824525?profile=pass
西藏卫视,http://www.kitcc.cn:9981/stream/channelid/1596618716?profile=pass
财富天下,http://www.kitcc.cn:9981/stream/channelid/319462573?profile=pass
贵州卫视,http://www.kitcc.cn:9981/stream/channelid/1918237079?profile=pass
辽宁卫视,http://www.kitcc.cn:9981/stream/channelid/1516937328?profile=pass
辽宁卫视,http://www.kitcc.cn:9981/stream/channelid/2105564955?profile=pass
重庆卫视,http://www.kitcc.cn:9981/stream/channelid/979892102?profile=pass
金鹰卡通,http://www.kitcc.cn:9981/stream/channelid/1556867912?profile=pass
金鹰纪实,http://www.kitcc.cn:9981/stream/channelid/1388356831?profile=pass
金鹰纪实,http://www.kitcc.cn:9981/stream/channelid/2008250147?profile=pass
陕西卫视,http://www.kitcc.cn:9981/stream/channelid/318153382?profile=pass
青海卫视,http://www.kitcc.cn:9981/stream/channelid/1695919474?profile=pass
靓妆,http://www.kitcc.cn:9981/stream/channelid/1625377883?profile=pass
风云剧场,http://www.kitcc.cn:9981/stream/channelid/508009952?profile=pass
风云足球,http://www.kitcc.cn:9981/stream/channelid/738785471?profile=pass
风云音乐,http://www.kitcc.cn:9981/stream/channelid/904093204?profile=pass
高尔夫网球,http://www.kitcc.cn:9981/stream/channelid/359812024?profile=pass
黑龙江卫视,http://www.kitcc.cn:9981/stream/channelid/1107374291?profile=pass
黑龙江卫视,http://www.kitcc.cn:9981/stream/channelid/1862432895?profile=pass
湖南卫视,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000523/index.m3u8?
湖南卫视,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010058/1.m3u8
湖南卫视,http://[2409:8087:74d9:21::6]:80/270000001128/9900000523/index.m3u8
四川卫视,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000025/index.m3u8?
四川卫视,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010115/1.m3u8
四川卫视,http://[2409:8087:74d9:21::6]:80/270000001128/9900000025/index.m3u8
重庆卫视,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000517/index.m3u8?
重庆卫视,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010053/1.m3u8
重庆卫视,http://[2409:8087:74d9:21::6]:80/270000001128/9900000517/index.m3u8
浙江卫视,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000531/index.m3u8?
浙江卫视,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010070/1.m3u8
浙江卫视,http://[2409:8087:74d9:21::6]:80/270000001128/9900000531/index.m3u8
江苏卫视,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000524/index.m3u8?
江苏卫视,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010059/1.m3u8
江苏卫视,http://[2409:8087:74d9:21::6]:80/270000001128/9900000524/index.m3u8
东方卫视,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000518/index.m3u8?
东方卫视,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010054/1.m3u8
东方卫视,http://[2409:8087:74d9:21::6]:80/270000001128/9900000518/index.m3u8
广东卫视,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000520/index.m3u8?
广东卫视,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010055/1.m3u8
广东卫视,http://[2409:8087:74d9:21::6]:80/270000001128/9900000520/index.m3u8
广西卫视,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000034/index.m3u8?
广西卫视,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010099/1.m3u8
广西卫视,http://[2409:8087:74d9:21::6]:80/270000001128/9900000034/index.m3u8
深圳卫视,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000529/index.m3u8?
深圳卫视,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010068/1.m3u8
深圳卫视,http://[2409:8087:74d9:21::6]:80/270000001128/9900000529/index.m3u8
北京卫视,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000516/index.m3u8?
北京卫视,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010143/1.m3u8
北京卫视,http://[2409:8087:74d9:21::6]:80/270000001128/9900000516/index.m3u8
东南卫视,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000519/index.m3u8?
东南卫视,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010096/1.m3u8
东南卫视,http://[2409:8087:74d9:21::6]:80/270000001128/9900000519/index.m3u8
天津卫视,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000530/index.m3u8?
天津卫视,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010069/1.m3u8
天津卫视,http://[2409:8087:74d9:21::6]:80/270000001128/9900000530/index.m3u8
安徽卫视,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000514/index.m3u8?
安徽卫视,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010041/1.m3u8
安徽卫视,http://[2409:8087:74d9:21::6]:80/270000001128/9900000514/index.m3u8
山东卫视,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000527/index.m3u8?
山东卫视,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010066/1.m3u8
山东卫视,http://[2409:8087:74d9:21::6]:80/270000001128/9900000527/index.m3u8
江西卫视,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000525/index.m3u8?
江西卫视,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010060/1.m3u8
江西卫视,http://[2409:8087:74d9:21::6]:80/270000001128/9900000525/index.m3u8
河北卫视,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000057/index.m3u8?
河北卫视,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010101/1.m3u8
河北卫视,http://[2409:8087:74d9:21::6]:80/270000001128/9900000057/index.m3u8
湖北卫视,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000522/index.m3u8?
湖北卫视,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010057/1.m3u8
湖北卫视,http://[2409:8087:74d9:21::6]:80/270000001128/9900000522/index.m3u8
贵州卫视,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000036/index.m3u8?
贵州卫视,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010100/1.m3u8
贵州卫视,http://[2409:8087:74d9:21::6]:80/270000001128/9900000036/index.m3u8
辽宁卫视,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000526/index.m3u8?
辽宁卫视,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010061/1.m3u8
辽宁卫视,http://[2409:8087:74d9:21::6]:80/270000001128/9900000526/index.m3u8
吉林卫视,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000030/index.m3u8?
吉林卫视,http://[2409:8087:5e00:24::1e]:6060/000000001000/5000000011000031117/1.m3u8
吉林卫视,http://[2409:8087:74d9:21::6]:80/270000001128/9900000030/index.m3u8
黑龙江卫视,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000521/index.m3u8?
黑龙江卫视,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010056/1.m3u8
黑龙江卫视,http://[2409:8087:74d9:21::6]:80/270000001128/9900000521/index.m3u8
云南卫视,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000035/index.m3u8?
云南卫视,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010119/1.m3u8
云南卫视,http://[2409:8087:74d9:21::6]:80/270000001128/9900000035/index.m3u8
甘肃卫视,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000023/index.m3u8?
甘肃卫视,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010098/1.m3u8
甘肃卫视,http://[2409:8087:74d9:21::6]:80/270000001128/9900000023/index.m3u8
青海卫视,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000042/index.m3u8?
青海卫视,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010111/1.m3u8
青海卫视,http://[2409:8087:74d9:21::6]:80/270000001128/9900000042/index.m3u8
河南卫视,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000027/index.m3u8?
河南卫视,http://[2409:8087:74d9:21::6]:80/270000001128/9900000027/index.m3u8
河南卫视,http://[2409:8087:74d9:21::6]:80/270000001128/9900000027/index.m3u8
海南卫视,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000037/index.m3u8?
湖南卫视,http://[2409:8087:74d9:21::6]:80/270000001128/9900000523/index.m3u8
海南卫视,http://[2409:8087:74d9:21::6]:80/270000001128/9900000037/index.m3u8

广东频道,#genre#
岭南戏曲,http://www.kitcc.cn:9981/stream/channelid/1017011220?profile=pass
广东体育,http://www.kitcc.cn:9981/stream/channelid/334663297?profile=pass
广东体育,http://www.kitcc.cn:9981/stream/channelid/826975419?profile=pass
广东公共,http://www.kitcc.cn:9981/stream/channelid/995644688?profile=pass
广东卫视,http://www.kitcc.cn:9981/stream/channelid/1399808515?profile=pass
广东卫视,http://www.kitcc.cn:9981/stream/channelid/1416822420?profile=pass
广东少儿,http://www.kitcc.cn:9981/stream/channelid/977601390?profile=pass
广东影视,http://www.kitcc.cn:9981/stream/channelid/2053410224?profile=pass
广东房产,http://www.kitcc.cn:9981/stream/channelid/1419410169?profile=pass
广东新闻,http://www.kitcc.cn:9981/stream/channelid/2025653775?profile=pass
广东珠江,http://www.kitcc.cn:9981/stream/channelid/70665860?profile=pass
广东珠江,http://www.kitcc.cn:9981/stream/channelid/1239677063?profile=pass
广东综艺,http://www.kitcc.cn:9981/stream/channelid/950015728?profile=pass
东莞新闻综合,https://stream.sun0769.com/dgrtv1/mp4tv1_800/index.m3u8
东莞生活资讯,https://stream.sun0769.com/dgrtv1/mp4tv2_800/index.m3u8
东莞综合,http://php.jdshipin.com:8880/0769.php?id=xwzh
东莞公共,http://php.jdshipin.com:8880/0769.php?id=shzx
东莞综合,http://2629.gg2021.top/dg.php?id=xwzh
东莞公共,http://2629.gg2021.top/dg.php?id=shzx
广东珠江,http://szhd.9966.org:9090/live/GD_ZhuJiang/hls.m3u8
广东新闻,http://szhd.9966.org:9090/live/GDXW/hls.m3u8
广东体育,http://szhd.9966.org:9090/live/GD_Sports_HD/hls.m3u8
